;Subject;ProlificNo;Age;Sex;check.RESP;BlockCondition;RESP_LTM;CRESP_LTM;TypeLTM;TypeSTM;RESP1;RESP2;RESP3;RESP4;RESP5;RESP6;CRESP1;CRESP2;CRESP3;CRESP4;nWords
3834;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;tulipan;tulipan;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3835;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;slon;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3836;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;centaur;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3837;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;soul;soul;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3838;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;tata;dziadek;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3839;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;perkusja;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3840;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;wierzba;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3841;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;;;;Related;okrag;szwagier;zlotowka;jablon;NA;NA;okrag;szwagier;zlotowka;jablon;4
3842;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;;;;Unrelated;storczyk;jednorozec;brokol;country;NA;NA;storczyk;jednorozec;brokul;country;4
3843;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;;;;Unrelated;kolano;kozaki;dorsz;szafir;NA;NA;kolano;kozaki;dorsz;szafir;4
3844;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;;;;Related;swinia;srebro;wafelki;trabka;NA;NA;swinia;srebro;wafelki;trabka;4
3845;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;swinia;swinia;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3846;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;siostra;szwagier;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3847;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;srebro;zlotowka;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3848;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;trabka;trabka;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3849;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;owalny;okrag;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3850;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;kozaki;kozaki;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3851;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;country;country;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3852;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;srebro;srebro;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3853;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;x;jednorozec;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3854;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;kolano;kolano;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3855;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;x;jablon;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3856;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;szafir;szafir;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3857;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;brokol;brokul;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3858;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;x;wafelki;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3859;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;x;storczyk;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3860;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;long;dorsz;dorsz;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3861;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;;;;Related;bursztyn;harpia;sandaly;pstrag;NA;NA;bursztyn;harpia;sandaly;pstrag;4
3862;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;;;;Unrelated;saksofon;euro;braz;sandaly;NA;NA;saksofon;euro;braz;swierk;4
3863;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;;;;Related;palec;gozdzik;ogorek;metal;NA;NA;palec;gozdzik;ogorek;metal;4
3864;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;;;;Unrelated;szesciokat;tata;lody;x;NA;NA;szesciokat;tata;lody;krowa;4
3865;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;metal;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3866;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;x;ogorek;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3867;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;braz;bursztyn;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3868;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;braz;braz;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3869;1709;5ca3e355c0173b001222f915;33;mężczyzna;t;short;lody;lody;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
